행정동,사고유형 - 소분류_ 기타,사고유형 - 소분류_ 정면충돌,사고유형 - 소분류_ 추돌,사고유형 - 소분류_ 측면충돌,사고유형 - 소분류_ 후진중충돌,법규위반_교차로운행방법위반,법규위반_기타,법규위반_보행자보호의무위반,법규위반_불법유턴,법규위반_신호위반,법규위반_안전거리미확보,법규위반_안전운전불이행,법규위반_중앙선침범,법규위반_직진우회전진행방해,법규위반_차로위반,도로형태 - 대분류_교차로,도로형태 - 대분류_기타,도로형태 - 대분류_단일로,도로형태 - 대분류_미분류,도로형태 - 대분류_주차장,도로형태 - 소분류_ 고가도로위,도로형태 - 소분류_ 교량,도로형태 - 소분류_ 교차로부근,도로형태 - 소분류_ 교차로안,도로형태 - 소분류_ 교차로횡단보도내,도로형태 - 소분류_ 기타,도로형태 - 소분류_ 미분류,도로형태 - 소분류_ 주차장,도로형태 - 소분류_ 지하차도(도로)내,도로형태 - 소분류_ 터널,가해운전자 차종_개인형이동수단(PM),가해운전자 차종_건설기계,가해운전자 차종_기타불명,가해운전자 차종_농기계,가해운전자 차종_사륜오토바이(ATV),가해운전자 차종_승용,가해운전자 차종_승합,가해운전자 차종_원동기,가해운전자 차종_이륜,가해운전자 차종_자전거,가해운전자 차종_특수,가해운전자 차종_화물,가해운전자 연령대_10대 이하,가해운전자 연령대_20대,가해운전자 연령대_30대,가해운전자 연령대_40대,가해운전자 연령대_50대,가해운전자 연령대_60대,가해운전자 연령대_70대,가해운전자 연령대_미분류,total_population,street parking,senior_ratio,평균 ECLO
마장동,14,0,9,18,0,2,3,0,0,6,4,25,1,0,0,20,0,21,0,0,0,1,7,10,3,20,0,0,0,0,0,0,0,0,0,26,0,0,9,1,0,5,0,8,6,6,8,7,6,0,22170,577,0.191520072,7.43902439
마천동,18,2,9,26,1,1,2,0,1,11,4,30,3,3,1,30,3,23,0,0,0,1,7,20,3,24,0,0,0,1,1,0,0,0,0,30,5,0,4,10,1,5,4,4,5,9,19,9,6,0,35615,1417,0.251270532,4.5
망우동,41,6,16,69,3,20,5,0,3,20,15,56,4,8,4,82,2,51,0,0,0,0,23,55,4,49,0,0,4,0,3,1,1,0,0,86,7,2,21,6,0,8,7,15,15,22,34,29,11,2,54071,846,0.207856337,0.17037037
망원동,25,3,31,26,1,0,2,0,0,7,14,58,3,0,2,13,7,66,0,0,5,13,5,8,0,54,0,0,0,1,0,0,2,0,0,58,1,1,5,7,0,12,1,11,9,16,20,20,6,3,37398,206,0.185357506,2.11627907
면목동,112,22,73,129,10,45,11,0,8,42,55,148,11,19,7,171,12,161,0,2,0,2,60,102,9,164,0,2,5,2,0,4,4,0,0,203,20,4,54,28,0,29,15,36,50,46,68,88,39,4,136677,1964,0.211469377,4.034682081
명동,30,2,11,57,0,7,2,0,0,8,34,46,0,0,3,41,4,54,0,1,0,0,17,22,2,48,0,1,8,2,0,0,1,0,0,75,8,1,2,1,0,12,2,5,9,19,21,32,11,1,3403,52,0.226564796,4.51
명일동,25,6,9,29,2,7,3,0,0,6,9,43,3,0,0,35,2,34,0,0,0,0,8,26,1,36,0,0,0,0,0,0,0,0,0,55,2,4,6,3,0,1,4,8,12,16,8,11,10,2,42243,496,0.179769429,4.985915493
목동,150,6,48,115,9,14,4,0,4,40,81,148,6,13,18,129,32,166,0,1,1,3,44,81,4,192,0,1,2,0,1,2,7,0,0,241,13,1,33,10,2,18,9,43,55,65,56,66,27,7,145928,938,0.145797928,1.454268293
무악동,1,0,1,2,1,1,0,0,0,1,0,3,0,0,0,2,0,3,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,1,3,0,0,8007,2,0.190208568,59.2
묵동,25,6,16,33,3,9,5,1,2,9,13,37,3,3,1,45,6,32,0,0,2,2,13,29,3,33,0,0,1,0,1,2,2,0,0,47,3,1,8,10,0,9,6,9,6,16,18,17,10,1,52187,985,0.201544446,9.108433735
